,ticker,sector,sub-industry,returns,totalYears
0,A,Healthcare,Diagnostics & Research,0.5833333333333334,24
1,AA,Basic Materials,Aluminum,0.6935483870967742,62
2,AACG,Consumer Defensive,Education & Training Services,0.4375,16
3,AACT,Financial Services,Shell Companies,,0
4,AADI,Healthcare,Biotechnology,0.16666666666666666,6
5,AAL,Industrials,Airlines,0.5555555555555556,18
6,AAN,Industrials,Rental & Leasing Services,1.0,3
7,AAOI,Technology,Communication Equipment,0.4,10
8,AAON,Industrials,Building Products & Equipment,0.7096774193548387,31
9,AAP,Consumer Cyclical,Specialty Retail,0.6363636363636364,22
10,AAPL,Technology,Consumer Electronics,0.5116279069767442,43
11,AAT,Real Estate,REIT - Diversified,0.5384615384615384,13
12,AB,Financial Services,Asset Management,0.5555555555555556,36
13,ABAT,Basic Materials,Other Industrial Metals & Mining,0.75,8
14,ABBV,Healthcare,Drug Manufacturers - General,0.6363636363636364,11
15,ABCL,Healthcare,Biotechnology,0.3333333333333333,3
16,ABEO,Healthcare,Biotechnology,0.5116279069767442,43
17,ABEV,Consumer Defensive,Beverages - Brewers,0.6296296296296297,27
18,ABG,Consumer Cyclical,Auto & Truck Dealerships,0.7272727272727273,22
19,ABL,Financial Services,Insurance - Life,1.0,3
20,ABLLL,,,,0
21,ABLV,Communication Services,Advertising Agencies,,0
22,ABM,Industrials,Specialty Business Services,0.7954545454545454,44
23,ABNB,Consumer Cyclical,Travel Services,0.6666666666666666,3
24,ABR,Real Estate,REIT - Mortgage,0.65,20
25,ABSI,Healthcare,Biotechnology,0.5,2
26,ABT,Healthcare,Medical Devices,0.6136363636363636,44
27,ABTS,Financial Services,Capital Markets,0.4,10
28,ABUS,Healthcare,Biotechnology,0.4375,16
29,ABVC,Healthcare,Biotechnology,0.47368421052631576,19
30,ABVX,Healthcare,Biotechnology,,0
31,AC,Financial Services,Asset Management,0.375,8
32,ACA,Industrials,Engineering & Construction,0.4,5
33,ACAB,Financial Services,Shell Companies,0.5,2
34,ACABU,Financial Services,Shell Companies,1.0,2
35,ACAD,Healthcare,Biotechnology,0.42105263157894735,19
36,ACB,Healthcare,Drug Manufacturers - Specialty & Generic,0.4444444444444444,9
37,ACCD,Healthcare,Health Information Services,0.3333333333333333,3
38,ACCO,Industrials,Business Equipment & Supplies,0.6111111111111112,18
39,ACEL,Consumer Cyclical,Gambling,0.6666666666666666,6
40,ACET,Healthcare,Biotechnology,0.5,6
41,ACGL,Financial Services,Insurance - Diversified,0.5357142857142857,28
42,ACGLN,Financial Services,Insurance - Diversified,1.0,2
43,ACGLO,Financial Services,Insurance - Diversified,0.5,6
44,ACHC,Healthcare,Medical Care Facilities,0.5666666666666667,30
45,ACHL,Healthcare,Biotechnology,0.0,3
46,ACHR,Industrials,Aerospace & Defense,0.6666666666666666,3
47,ACHV,Healthcare,Biotechnology,0.6428571428571429,28
48,ACIC,Financial Services,Insurance - Property & Casualty,0.5625,16
49,ACIU,Healthcare,Biotechnology,0.2857142857142857,7
50,ACIW,Technology,Software - Infrastructure,0.6206896551724138,29
51,ACLS,Technology,Semiconductor Equipment & Materials,0.6086956521739131,23
52,ACLX,Healthcare,Biotechnology,0.5,2
53,ACM,Industrials,Engineering & Construction,0.75,16
54,ACMR,Technology,Semiconductor Equipment & Materials,0.6666666666666666,6
55,ACN,Technology,Information Technology Services,0.5454545454545454,22
56,ACNB,Financial Services,Banks - Regional,0.5,30
57,ACON,Healthcare,Health Information Services,0.5,2
58,ACP,Financial Services,Asset Management,0.6923076923076923,13
59,ACPpA,,,1.0,2
60,ACR,Real Estate,REIT - Mortgage,0.5,18
61,ACRE,Real Estate,REIT - Mortgage,0.25,12
62,ACRS,Healthcare,Diagnostics & Research,0.375,8
63,ACRV,Healthcare,Biotechnology,1.0,1
64,ACT,Financial Services,Insurance - Specialty,0.0,2
65,ACTG,Industrials,Business Equipment & Supplies,0.6666666666666666,21
66,ACU,Consumer Defensive,Household & Personal Products,0.7272727272727273,44
67,ACV,Financial Services,Asset Management,0.625,8
68,ACVA,Consumer Cyclical,Auto & Truck Dealerships,1.0,3
69,ACXP,Healthcare,Biotechnology,0.5,2
70,ADAG,Healthcare,Biotechnology,0.6666666666666666,3
71,ADAP,Healthcare,Biotechnology,0.75,8
72,ADC,Real Estate,REIT - Retail,0.43333333333333335,30
73,ADCT,Healthcare,Biotechnology,0.6666666666666666,3
74,ADD,Communication Services,Entertainment,0.6,15
75,ADEA,Technology,Software - Application,0.5,20
76,ADI,Technology,Semiconductors,0.6818181818181818,44
77,ADIL,Healthcare,Biotechnology,0.6,5
78,ADM,Consumer Defensive,Farm Products,0.4090909090909091,44
79,ADN,Utilities,Utilities - Renewable,0.2,5
80,ADNT,Consumer Cyclical,Auto Parts,0.42857142857142855,7
81,ADP,Technology,Software - Application,0.5,44
82,ADPT,Healthcare,Biotechnology,0.0,4
83,ADRT,Financial Services,Shell Companies,0.5,2
84,ADSE,Industrials,Electrical Equipment & Parts,0.0,3
85,ADSK,Technology,Software - Application,0.6842105263157895,38
86,ADT,Industrials,Security & Protection Services,0.3333333333333333,6
87,ADTX,Healthcare,Biotechnology,0.6666666666666666,3
88,ADUS,Healthcare,Medical Care Facilities,0.5,14
89,ADV,Communication Services,Advertising Agencies,0.5,4
90,ADVM,Healthcare,Biotechnology,0.6666666666666666,9
91,ADX,Financial Services,Asset Management,0.6136363636363636,44
92,ADXN,Healthcare,Biotechnology,0.5,4
93,AE,Energy,Oil & Gas Refining & Marketing,0.6938775510204082,49
94,AEAE,Financial Services,Shell Companies,1.0,2
95,AEAEU,Financial Services,Shell Companies,0.5,2
96,AEF,Financial Services,Asset Management,0.6470588235294118,34
97,AEFC,,,0.5,4
98,AEG,Financial Services,Insurance - Diversified,0.5789473684210527,38
99,AEHL,Industrials,Building Products & Equipment,0.5625,16
100,AEHR,Technology,Semiconductor Equipment & Materials,0.5384615384615384,26
101,AEI,Real Estate,Real Estate - Development,0.3333333333333333,3
102,AEIS,Industrials,Electrical Equipment & Parts,0.75,28
103,AEM,Basic Materials,Gold,0.6078431372549019,51
104,AEMD,Healthcare,Medical Devices,0.52,25
105,AEO,Consumer Cyclical,Apparel Retail,0.5333333333333333,30
106,AEON,Healthcare,Biotechnology,,0
107,AEP,Utilities,Utilities - Regulated Electric,0.45161290322580644,62
108,AER,Industrials,Rental & Leasing Services,0.5882352941176471,17
109,AERT,Industrials,Consulting Services,0.5,2
110,AES,Utilities,Utilities - Diversified,0.53125,32
111,AESI,Energy,Oil & Gas Equipment & Services,1.0,1
112,AEVA,Technology,Software - Infrastructure,0.25,4
113,AEYE,Technology,Software - Application,0.6363636363636364,11
114,AFBI,Financial Services,Banks - Regional,0.5714285714285714,7
115,AFCG,Real Estate,REIT - Specialty,0.3333333333333333,3
116,AFG,Financial Services,Insurance - Property & Casualty,0.6818181818181818,44
117,AFGB,,,0.5,4
118,AFGC,,,0.5,4
119,AFGD,,,0.6666666666666666,3
120,AFGE,,,0.6666666666666666,3
121,AFJK,Financial Services,Shell Companies,,0
122,AFJKU,Financial Services,Shell Companies,,0
123,AFMD,Healthcare,Biotechnology,0.5555555555555556,9
124,AFRI,Consumer Defensive,Farm Products,0.6666666666666666,3
125,AFRM,Technology,Software - Infrastructure,0.3333333333333333,3
126,AFYA,Consumer Defensive,Education & Training Services,0.25,4
127,AG,Basic Materials,Silver,0.6470588235294118,17
128,AGAE,Communication Services,Entertainment,1.0,6
129,AGBA,Financial Services,Asset Management,0.5,4
130,AGCO,Industrials,Farm & Heavy Construction Machinery,0.65625,32
131,AGD,Financial Services,Asset Management,0.5882352941176471,17
132,AGFY,Industrials,Farm & Heavy Construction Machinery,0.3333333333333333,3
133,AGI,Basic Materials,Gold,0.55,20
134,AGIO,Healthcare,Biotechnology,0.6,10
135,AGL,Healthcare,Medical Care Facilities,0.3333333333333333,3
136,AGM,Financial Services,Credit Services,0.5333333333333333,30
137,AGMH,Technology,Computer Hardware,0.3333333333333333,6
138,AGNC,Real Estate,REIT - Mortgage,0.4666666666666667,15
139,AGNCL,Real Estate,REIT - Mortgage,1.0,1
140,AGNCM,Real Estate,REIT - Mortgage,0.6,5
141,AGNCN,Real Estate,REIT - Mortgage,0.6666666666666666,6
142,AGNCO,Real Estate,REIT - Mortgage,0.75,4
143,AGNCP,Real Estate,REIT - Mortgage,0.75,4
144,AGO,Financial Services,Insurance - Specialty,0.65,20
145,AGR,Utilities,Utilities - Regulated Electric,0.5,8
146,AGRO,Consumer Defensive,Farm Products,0.46153846153846156,13
147,AGS,Consumer Cyclical,Gambling,0.16666666666666666,6
148,AGX,Industrials,Engineering & Construction,0.6071428571428571,28
149,AGYS,Technology,Software - Application,0.5227272727272727,44
150,AHCO,Healthcare,Medical Devices,0.4,5
151,AHG,Healthcare,Medical Distribution,0.3333333333333333,6
152,AHH,Real Estate,REIT - Diversified,0.5,10
153,AHR,Real Estate,REIT - Healthcare Facilities,,0
154,AHT,Real Estate,REIT - Hotel & Motel,0.6,20
155,AI,Technology,Software - Application,0.3333333333333333,3
156,AIFF,Technology,Software - Application,0.8,30
157,AIG,Financial Services,Insurance - Diversified,0.47058823529411764,51
158,AIHS,Financial Services,Credit Services,0.6666666666666666,6
159,AILE,Technology,Software - Infrastructure,0.6666666666666666,3
160,AIM,Healthcare,Biotechnology,0.5925925925925926,27
161,AIMAU,Financial Services,Shell Companies,1.0,2
162,AIMBU,Financial Services,Shell Companies,,0
163,AIMD,Healthcare,Medical Devices,0.3333333333333333,3
164,AIN,Consumer Cyclical,Textile Manufacturing,0.6388888888888888,36
165,AIOT,Technology,Software - Infrastructure,0.4583333333333333,24
166,AIP,Technology,Semiconductors,0.5,2
167,AIR,Industrials,Aerospace & Defense,0.6590909090909091,44
168,AIRE,Real Estate,Real Estate Services,,0
169,AIRG,Technology,Communication Equipment,0.7142857142857143,7
170,AIRI,Industrials,Aerospace & Defense,0.4782608695652174,23
171,AIRJ,Industrials,Building Products & Equipment,0.5,2
172,AIRS,Healthcare,Medical Care Facilities,0.5,2
173,AIRT,Industrials,Conglomerates,0.475,40
174,AISP,Technology,Software - Infrastructure,0.0,2
175,AIT,Industrials,Industrial Distribution,0.5681818181818182,44
176,AITR,Financial Services,Shell Companies,,0
177,AITRU,Financial Services,Shell Companies,,0
178,AIV,Real Estate,REIT - Residential,0.5517241379310345,29
179,AIXI,Technology,Software - Application,1.0,1
180,AIZ,Financial Services,Insurance - Property & Casualty,0.5,20
181,AIZN,,,0.6666666666666666,3
182,AJG,Financial Services,Insurance Brokers,0.46153846153846156,39
183,AKA,Consumer Cyclical,Apparel Retail,0.5,2
184,AKAM,Technology,Software - Infrastructure,0.7083333333333334,24
185,AKAN,Healthcare,Drug Manufacturers - Specialty & Generic,0.5,2
186,AKBA,Healthcare,Drug Manufacturers - Specialty & Generic,0.6,10
187,AKR,Real Estate,REIT - Retail,0.6333333333333333,30
188,AKRO,Healthcare,Biotechnology,0.25,4
189,AKTS,Technology,Communication Equipment,0.75,8
190,AKYA,Healthcare,Medical Instruments & Supplies,0.6666666666666666,3
191,AL,Industrials,Rental & Leasing Services,0.8461538461538461,13
192,ALAB,Technology,Semiconductors,,0
193,ALAR,Technology,Software - Infrastructure,0.8,5
194,ALB,Basic Materials,Specialty Chemicals,0.5666666666666667,30
195,ALBT,Real Estate,Real Estate Services,0.5,6
196,ALC,Healthcare,Medical Instruments & Supplies,0.6,5
197,ALCE,Utilities,Utilities - Renewable,0.5,2
198,ALCY,Financial Services,Shell Companies,,0
199,ALCYU,Financial Services,Shell Companies,,0
200,ALDX,Healthcare,Biotechnology,0.2222222222222222,9
201,ALE,Utilities,Utilities - Diversified,0.62,50
202,ALEC,Healthcare,Biotechnology,0.6,5
203,ALEX,Real Estate,REIT - Retail,0.5454545454545454,11
204,ALG,Industrials,Farm & Heavy Construction Machinery,0.6451612903225806,31
205,ALGN,Healthcare,Medical Instruments & Supplies,0.6521739130434783,23
206,ALGS,Healthcare,Biotechnology,0.6666666666666666,3
207,ALGT,Industrials,Airlines,0.5882352941176471,17
208,ALHC,Healthcare,Healthcare Plans,0.0,3
209,ALIT,Technology,Software - Application,0.6666666666666666,3
210,ALK,Industrials,Airlines,0.6818181818181818,44
211,ALKS,Healthcare,Drug Manufacturers - Specialty & Generic,0.53125,32
212,ALKT,Technology,Software - Application,0.0,3
213,ALL,Financial Services,Insurance - Property & Casualty,0.5666666666666667,30
214,ALLK,Healthcare,Biotechnology,0.2,5
215,ALLO,Healthcare,Biotechnology,0.4,5
216,ALLR,Healthcare,Biotechnology,0.5,2
217,ALLT,Technology,Software - Infrastructure,0.5294117647058824,17
218,ALLY,Financial Services,Credit Services,0.6,10
219,ALNT,Technology,Electronic Components,0.5581395348837209,43
220,ALNY,Healthcare,Biotechnology,0.47368421052631576,19
221,ALOT,Technology,Computer Hardware,0.6190476190476191,42
222,ALPP,Industrials,Conglomerates,0.42857142857142855,7
223,ALRM,Technology,Software - Application,0.5,8
224,ALRN,Healthcare,Biotechnology,0.5,6
225,ALRS,Financial Services,Banks - Regional,0.38095238095238093,21
226,ALSA,Financial Services,Shell Companies,0.5,2
227,ALSAU,Financial Services,Shell Companies,0.5,2
228,ALT,Healthcare,Biotechnology,0.5,6
229,ALTG,Industrials,Rental & Leasing Services,0.6,5
230,ALTI,Financial Services,Asset Management,0.0,3
231,ALTM,Basic Materials,Specialty Chemicals,0.4,5
232,ALTO,Basic Materials,Specialty Chemicals,0.631578947368421,19
233,ALTR,Technology,Software - Infrastructure,0.5,6
234,ALTS,Technology,Software - Application,0.59375,32
235,ALUR,Healthcare,Medical Devices,1.0,3
236,ALVO,Healthcare,Drug Manufacturers - Specialty & Generic,1.0,1
237,ALVR,Healthcare,Biotechnology,0.3333333333333333,3
238,ALX,Real Estate,REIT - Retail,0.5686274509803921,51
239,ALXO,Healthcare,Biotechnology,0.3333333333333333,3
240,ALZN,Healthcare,Biotechnology,0.5,2
241,AM,Energy,Oil & Gas Midstream,0.3333333333333333,6
242,AMAL,Financial Services,Banks - Regional,0.4,5
243,AMAT,Technology,Semiconductor Equipment & Materials,0.6818181818181818,44
244,AMBC,Financial Services,Insurance - Specialty,0.5,10
245,AMBI,Industrials,Waste Management,0.3333333333333333,3
246,AMBO,Consumer Defensive,Education & Training Services,0.6,5
247,AMBP,Consumer Cyclical,Packaging & Containers,1.0,2
248,AMC,Communication Services,Entertainment,0.6,10
249,AMCR,Consumer Cyclical,Packaging & Containers,0.45454545454545453,11
250,AMCX,Communication Services,Entertainment,0.5833333333333334,12
251,AMD,Technology,Semiconductors,0.7045454545454546,44
252,AME,Industrials,Specialty Industrial Machinery,0.7692307692307693,39
253,AMG,Financial Services,Asset Management,0.6923076923076923,26
254,AMGN,Healthcare,Drug Manufacturers - General,0.375,40
255,AMH,Real Estate,REIT - Residential,0.5,10
256,AMIX,Healthcare,Medical Devices,,0
257,AMKR,Technology,Semiconductor Equipment & Materials,0.8,25
258,AMLI,Basic Materials,Other Industrial Metals & Mining,0.5,8
259,AMLX,Healthcare,Biotechnology,0.0,2
260,AMNA,,,0.3333333333333333,3
261,AMND,,,0.3333333333333333,3
262,AMP,Financial Services,Asset Management,0.5,18
263,AMPG,Technology,Communication Equipment,1.0,3
264,AMPH,Healthcare,Drug Manufacturers - Specialty & Generic,0.4444444444444444,9
265,AMPL,Technology,Software - Application,0.5,2
266,AMPS,Utilities,Utilities - Renewable,0.0,3
267,AMPX,Industrials,Electrical Equipment & Parts,1.0,1
268,AMPY,Energy,Oil & Gas E&P,0.5833333333333334,12
269,AMRC,Industrials,Engineering & Construction,0.38461538461538464,13
270,AMRK,Financial Services,Capital Markets,0.7,10
271,AMRN,Healthcare,Drug Manufacturers - General,0.5483870967741935,31
272,AMRX,Healthcare,Drug Manufacturers - Specialty & Generic,0.4,5
273,AMS,Healthcare,Medical Care Facilities,0.46153846153846156,39
274,AMSC,Industrials,Specialty Industrial Machinery,0.5625,32
275,AMSF,Financial Services,Insurance - Specialty,0.5,18
276,AMST,Technology,Software - Application,0.6666666666666666,3
277,AMSWA,Technology,Software - Application,0.5853658536585366,41
278,AMTB,Financial Services,Banks - Regional,0.4,5
279,AMTD,Financial Services,Asset Management,1.0,4
280,AMTR,,,0.3333333333333333,3
281,AMTX,Energy,Oil & Gas Refining & Marketing,0.4117647058823529,17
282,AMUB,,,0.625,8
