,ticker,sector,sub-industry,returns,totalYears
0,MMM,Industrials,Conglomerates,0.5967741935483871,62
1,AOS,Industrials,Specialty Industrial Machinery,0.7,40
2,ABT,Healthcare,Medical Devices,0.6136363636363636,44
3,ABBV,Healthcare,Drug Manufacturers - General,0.6363636363636364,11
4,ACN,Technology,Information Technology Services,0.5454545454545454,22
5,ADBE,Technology,Software - Infrastructure,0.5675675675675675,37
6,AMD,Technology,Semiconductors,0.7045454545454546,44
7,AES,Utilities,Utilities - Diversified,0.53125,32
8,AFL,Financial Services,Insurance - Life,0.5909090909090909,44
9,A,Healthcare,Diagnostics & Research,0.5833333333333334,24
10,APD,Basic Materials,Specialty Chemicals,0.7272727272727273,44
11,ABNB,Consumer Cyclical,Travel Services,0.6666666666666666,3
12,AKAM,Technology,Software - Infrastructure,0.7083333333333334,24
13,ALB,Basic Materials,Specialty Chemicals,0.5666666666666667,30
14,ARE,Real Estate,REIT - Office,0.5769230769230769,26
15,ALGN,Healthcare,Medical Instruments & Supplies,0.6521739130434783,23
16,ALLE,Industrials,Security & Protection Services,0.6,10
17,LNT,Utilities,Utilities - Regulated Electric,0.5098039215686274,51
18,ALL,Financial Services,Insurance - Property & Casualty,0.5666666666666667,30
19,GOOGL,Communication Services,Internet Content & Information,0.3684210526315789,19
20,GOOG,Communication Services,Internet Content & Information,0.3684210526315789,19
21,MO,Consumer Defensive,Tobacco,0.5161290322580645,62
22,AMZN,Consumer Cyclical,Internet Retail,0.5769230769230769,26
23,AMCR,Consumer Cyclical,Packaging & Containers,0.45454545454545453,11
24,AEE,Utilities,Utilities - Regulated Electric,0.5,26
25,AEP,Utilities,Utilities - Regulated Electric,0.45161290322580644,62
26,AXP,Financial Services,Credit Services,0.5882352941176471,51
27,AIG,Financial Services,Insurance - Diversified,0.47058823529411764,51
28,AMT,Real Estate,REIT - Specialty,0.4230769230769231,26
29,AWK,Utilities,Utilities - Regulated Water,0.625,16
30,AMP,Financial Services,Asset Management,0.5,18
31,AME,Industrials,Specialty Industrial Machinery,0.7692307692307693,39
32,AMGN,Healthcare,Drug Manufacturers - General,0.375,40
33,APH,Technology,Electronic Components,0.5625,32
34,ADI,Technology,Semiconductors,0.6818181818181818,44
35,ANSS,Technology,Software - Application,0.5925925925925926,27
36,AON,Financial Services,Insurance Brokers,0.6046511627906976,43
37,APA,Energy,Oil & Gas E&P,0.5454545454545454,44
38,AAPL,Technology,Consumer Electronics,0.5116279069767442,43
39,AMAT,Technology,Semiconductor Equipment & Materials,0.6818181818181818,44
40,APTV,Consumer Cyclical,Auto Parts,0.5,12
41,ACGL,Financial Services,Insurance - Diversified,0.5357142857142857,28
42,ADM,Consumer Defensive,Farm Products,0.4090909090909091,44
43,ANET,Technology,Computer Hardware,0.6666666666666666,9
44,AJG,Financial Services,Insurance Brokers,0.46153846153846156,39
45,AIZ,Financial Services,Insurance - Property & Casualty,0.5,20
46,T,Communication Services,Telecom Services,0.575,40
47,ATO,Utilities,Utilities - Regulated Gas,0.55,40
48,ADSK,Technology,Software - Application,0.6842105263157895,38
49,ADP,Technology,Software - Application,0.5,44
50,AZO,Consumer Cyclical,Specialty Retail,0.6363636363636364,33
51,AVB,Real Estate,REIT - Residential,0.5666666666666667,30
52,AVY,Consumer Cyclical,Packaging & Containers,0.6470588235294118,51
53,AXON,Industrials,Aerospace & Defense,0.5909090909090909,22
54,BKR,Energy,Oil & Gas Equipment & Services,0.6756756756756757,37
55,BALL,Consumer Cyclical,Packaging & Containers,0.6470588235294118,51
56,BAC,Financial Services,Banks - Diversified,0.6274509803921569,51
57,BK,Financial Services,Banks - Diversified,0.6,50
58,BBWI,Consumer Cyclical,Specialty Retail,0.5476190476190477,42
59,BAX,Healthcare,Medical Instruments & Supplies,0.7142857142857143,42
60,BDX,Healthcare,Medical Instruments & Supplies,0.6470588235294118,51
61,BBY,Consumer Cyclical,Specialty Retail,0.5641025641025641,39
62,TECH,Healthcare,Biotechnology,0.5714285714285714,35
63,BIIB,Healthcare,Drug Manufacturers - General,0.4375,32
64,BLK,Financial Services,Asset Management,0.5416666666666666,24
65,BX,Financial Services,Asset Management,0.6875,16
66,BA,Industrials,Aerospace & Defense,0.5645161290322581,62
67,BKNG,Consumer Cyclical,Travel Services,0.68,25
68,BWA,Consumer Cyclical,Auto Parts,0.7,30
69,BSX,Healthcare,Medical Devices,0.6129032258064516,31
70,BMY,Healthcare,Drug Manufacturers - General,0.43137254901960786,51
71,AVGO,Technology,Semiconductors,0.5714285714285714,14
72,BR,Technology,Information Technology Services,0.47058823529411764,17
73,BRO,Financial Services,Insurance Brokers,0.4883720930232558,43
74,BLDR,Industrials,Building Products & Equipment,0.6111111111111112,18
75,BG,Consumer Defensive,Farm Products,0.5,22
76,BXP,Real Estate,REIT - Office,0.6923076923076923,26
77,CHRW,Industrials,Integrated Freight & Logistics,0.6153846153846154,26
78,CDNS,Technology,Software - Application,0.5277777777777778,36
79,CZR,Consumer Cyclical,Resorts & Casinos,0.5555555555555556,9
80,CPT,Real Estate,REIT - Residential,0.6333333333333333,30
81,CPB,Consumer Defensive,Packaged Foods,0.5490196078431373,51
82,COF,Financial Services,Credit Services,0.4827586206896552,29
83,CAH,Healthcare,Medical Distribution,0.525,40
84,KMX,Consumer Cyclical,Auto & Truck Dealerships,0.5925925925925926,27
85,CCL,Consumer Cyclical,Travel Services,0.5833333333333334,36
86,CARR,Industrials,Building Products & Equipment,0.5,4
87,CTLT,Healthcare,Drug Manufacturers - Specialty & Generic,0.6666666666666666,9
88,CAT,Industrials,Farm & Heavy Construction Machinery,0.6935483870967742,62
89,CBOE,Financial Services,Financial Data & Stock Exchanges,0.3076923076923077,13
90,CBRE,Real Estate,Real Estate Services,0.8421052631578947,19
91,CDW,Technology,Information Technology Services,0.4,10
92,CE,Basic Materials,Chemicals,0.5789473684210527,19
93,COR,Healthcare,Medical Distribution,0.5862068965517241,29
94,CNC,Healthcare,Healthcare Plans,0.45454545454545453,22
95,CNP,Utilities,Utilities - Regulated Electric,0.5,62
96,CF,Basic Materials,Agricultural Inputs,0.3888888888888889,18
97,CRL,Healthcare,Diagnostics & Research,0.5217391304347826,23
98,SCHW,Financial Services,Capital Markets,0.6111111111111112,36
99,CHTR,Communication Services,Telecom Services,0.42857142857142855,14
100,CVX,Energy,Oil & Gas Integrated,0.6451612903225806,62
101,CMG,Consumer Cyclical,Restaurants,0.5555555555555556,18
102,CB,Financial Services,Insurance - Property & Casualty,0.41935483870967744,31
103,CHD,Consumer Defensive,Household & Personal Products,0.6363636363636364,44
104,CI,Healthcare,Healthcare Plans,0.5,42
105,CINF,Financial Services,Insurance - Property & Casualty,0.5454545454545454,44
106,CTAS,Industrials,Specialty Business Services,0.5,40
107,CSCO,Technology,Communication Equipment,0.47058823529411764,34
108,C,Financial Services,Banks - Diversified,0.5531914893617021,47
109,CFG,Financial Services,Banks - Regional,0.6666666666666666,9
110,CLX,Consumer Defensive,Household & Personal Products,0.6078431372549019,51
111,CME,Financial Services,Financial Data & Stock Exchanges,0.42857142857142855,21
112,CMS,Utilities,Utilities - Regulated Electric,0.5882352941176471,51
113,KO,Consumer Defensive,Beverages - Non-Alcoholic,0.5967741935483871,62
114,CTSH,Technology,Information Technology Services,0.52,25
115,CL,Consumer Defensive,Household & Personal Products,0.72,50
116,CMCSA,Communication Services,Telecom Services,0.5,44
117,CAG,Consumer Defensive,Packaged Foods,0.38636363636363635,44
118,COP,Energy,Oil & Gas E&P,0.5476190476190477,42
119,ED,Utilities,Utilities - Regulated Electric,0.532258064516129,62
120,STZ,Consumer Defensive,Beverages - Brewers,0.53125,32
121,CEG,Utilities,Utilities - Renewable,0.5,2
122,COO,Healthcare,Medical Instruments & Supplies,0.5609756097560976,41
123,CPRT,Industrials,Specialty Business Services,0.7,30
124,GLW,Technology,Electronic Components,0.6428571428571429,42
125,CPAY,Technology,Software - Infrastructure,0.6923076923076923,13
126,CTVA,Basic Materials,Agricultural Inputs,0.75,4
127,CSGP,Real Estate,Real Estate Services,0.6,25
128,COST,Consumer Defensive,Discount Stores,0.4864864864864865,37
129,CTRA,Energy,Oil & Gas E&P,0.6176470588235294,34
130,CRWD,Technology,Software - Infrastructure,0.25,4
131,CCI,Real Estate,REIT - Specialty,0.68,25
132,CSX,Industrials,Railroads,0.627906976744186,43
133,CMI,Industrials,Specialty Industrial Machinery,0.6470588235294118,51
134,CVS,Healthcare,Healthcare Plans,0.6470588235294118,51
135,DHR,Healthcare,Diagnostics & Research,0.6666666666666666,45
136,DRI,Consumer Cyclical,Restaurants,0.6071428571428571,28
137,DVA,Healthcare,Medical Care Facilities,0.5,28
138,DAY,Technology,Software - Application,0.5,6
139,DECK,Consumer Cyclical,Footwear & Accessories,0.5333333333333333,30
140,DE,Industrials,Farm & Heavy Construction Machinery,0.6862745098039216,51
141,DELL,Technology,Computer Hardware,0.7142857142857143,7
142,DAL,Industrials,Airlines,0.625,16
143,DVN,Energy,Oil & Gas E&P,0.47368421052631576,38
144,DXCM,Healthcare,Medical Devices,0.5263157894736842,19
145,FANG,Energy,Oil & Gas E&P,0.6363636363636364,11
146,DLR,Real Estate,REIT - Specialty,0.7368421052631579,19
147,DFS,Financial Services,Credit Services,0.5625,16
148,DG,Consumer Defensive,Discount Stores,0.6428571428571429,14
149,DLTR,Consumer Defensive,Discount Stores,0.5517241379310345,29
150,D,Utilities,Utilities - Regulated Electric,0.4318181818181818,44
151,DPZ,Consumer Cyclical,Restaurants,0.631578947368421,19
152,DOV,Industrials,Specialty Industrial Machinery,0.75,44
153,DOW,Basic Materials,Chemicals,0.6,5
154,DHI,Consumer Cyclical,Residential Construction,0.5806451612903226,31
155,DTE,Utilities,Utilities - Regulated Electric,0.5483870967741935,62
156,DUK,Utilities,Utilities - Regulated Electric,0.45454545454545453,44
157,DD,Basic Materials,Specialty Chemicals,0.6666666666666666,51
158,EMN,Basic Materials,Specialty Chemicals,0.7666666666666667,30
159,ETN,Industrials,Specialty Industrial Machinery,0.7450980392156863,51
160,EBAY,Consumer Cyclical,Internet Retail,0.56,25
161,ECL,Basic Materials,Specialty Chemicals,0.5490196078431373,51
162,EIX,Utilities,Utilities - Regulated Electric,0.44,50
163,EW,Healthcare,Medical Devices,0.7916666666666666,24
164,EA,Communication Services,Electronic Gaming & Multimedia,0.38235294117647056,34
165,ELV,Healthcare,Healthcare Plans,0.6818181818181818,22
166,EMR,Industrials,Specialty Industrial Machinery,0.7254901960784313,51
167,ENPH,Technology,Solar,0.5833333333333334,12
168,ETR,Utilities,Utilities - Regulated Electric,0.39215686274509803,51
169,EOG,Energy,Oil & Gas E&P,0.6764705882352942,34
170,EPAM,Technology,Information Technology Services,0.5833333333333334,12
171,EQT,Energy,Oil & Gas E&P,0.6136363636363636,44
172,EFX,Industrials,Consulting Services,0.75,44
173,EQIX,Real Estate,REIT - Specialty,0.5217391304347826,23
174,EQR,Real Estate,REIT - Residential,0.6333333333333333,30
175,ERIE,Financial Services,Insurance Brokers,0.5,28
176,ESS,Real Estate,REIT - Residential,0.5862068965517241,29
177,EL,Consumer Defensive,Household & Personal Products,0.7857142857142857,28
178,EG,Financial Services,Insurance - Reinsurance,0.5357142857142857,28
179,EVRG,Utilities,Utilities - Regulated Electric,0.6078431372549019,51
180,ES,Utilities,Utilities - Regulated Electric,0.5294117647058824,51
181,EXC,Utilities,Utilities - Regulated Electric,0.46,50
182,EXPE,Consumer Cyclical,Travel Services,0.5,18
